feature,key,mu_log_ms,sigma_log
HT,61,4.489425935,0.349903662
HT,62,6.891133028,0.699897695
HT,63,4.489425935,0.349903662
HT,64,4.489425935,0.349903662
HT,65,4.651105305,0.378770425
HT,66,4.386309119,0.300509518
HT,67,4.512124564,0.32959304
HT,68,4.50688945,0.367785487
HT,69,4.541450454,0.389191327
HT,70,4.492355327,0.342316097
HT,71,4.468264219,0.337642091
HT,72,4.488575247,0.402268256
HT,73,4.47363335,0.369829162
HT,74,4.363495161,0.332089222
HT,75,4.40167987,0.360349064
HT,76,4.471953936,0.360252948
HT,77,4.479156148,0.326695147
HT,78,4.476256585,0.370676261
HT,79,4.490276624,0.374238568
HT,80,4.514593918,0.338008978
HT,81,4.573450581,0.329257481
HT,82,4.528756047,0.38949528
HT,83,4.583661906,0.386569718
HT,84,4.505221096,0.387155445
HT,85,4.409809663,0.354371317
HT,86,4.463549137,0.327690598
HT,87,4.627994199,0.416284945
HT,88,4.484941254,0.322280997
HT,89,4.420862011,0.367623334
HT,90,4.50325066,0.336069667
HT,91,4.489425935,0.349903662
HT,92,4.489425935,0.349903662
HT,93,4.489425935,0.349903662
HT,94,4.489425935,0.349903662
HT,95,4.489425935,0.349903662
HT,96,4.367757506,0.295956536
HT,97,4.410503632,0.286634136
HT,98,4.415938633,0.282995997
HT,99,4.441204884,0.281166403
HT,100,4.388377924,0.268042357
HT,101,4.436855558,0.297837698
HT,102,4.438321681,0.291906657
HT,103,4.372841749,0.267527482
HT,104,4.393206413,0.270980907
HT,105,4.49075845,0.310684979
HT,106,4.30630712,0.138867136
HT,107,4.50663961,0.291668418
HT,108,4.489425935,0.349903662
HT,109,4.527422742,0.292342348
HT,110,4.453585046,0.268145169
HT,111,4.442408214,0.293253921
HT,112,4.514593918,0.338008978
HT,113,4.573450581,0.329257481
HT,114,4.528756047,0.38949528
HT,115,4.583661906,0.386569718
HT,116,4.505221096,0.387155445
HT,117,4.409809663,0.354371317
HT,118,4.463549137,0.327690598
HT,119,4.627994199,0.416284945
HT,120,4.484941254,0.322280997
HT,121,4.420862011,0.367623334
HT,122,4.50325066,0.336069667
HT,123,4.489425935,0.349903662
HT,124,4.489425935,0.349903662
HT,125,4.489425935,0.349903662
HT,126,4.489425935,0.349903662
HT,144,2.224094329,0.419427536
HT,160,6.065756709,0.725313606
HT,161,5.757440134,0.678675492
HT,162,6.118603439,0.636478355
HT,163,6.297905469,0.590183486
HT,171,4.419448696,0.255840832
HT,172,4.553199177,0.36979515
HT,173,4.364764538,0.303109822
HT,174,4.404243577,0.295213004
HT,175,4.203496776,0.468303542
HT,188,4.401701857,0.299448374
HT,190,4.401160354,0.303105646
HT,191,4.074109715,0.166945845
HT,192,4.427795151,0.355595677
HT,219,4.948626675,0.267008813
HT,222,4.39497217,0.337027671
HT,252,4.069197931,0.331701811
